Time (Years),Stock Price
0.121000,100.499712
0.122000,100.180359
0.123000,100.664484
0.124000,101.553541
0.125000,102.936833
0.126000,102.628012
0.127000,102.347271
0.128000,102.088452
0.129000,101.951824
0.130000,102.026331
0.131000,102.562736
0.132000,100.872129
0.133000,100.567240
0.134000,100.525587
0.135000,100.760722
0.136000,99.254368
0.137000,99.874028
0.138000,99.717374
0.139000,100.603344
0.140000,100.558683
0.141000,101.301291
0.142000,100.852857
0.143000,100.470948
0.144000,100.312282
0.145000,99.612433
0.146000,98.853635
0.147000,99.082367
0.148000,99.224182
0.149000,98.117802
0.150000,99.276275
0.151000,100.063270
0.152000,100.378118
0.153000,100.631856
0.154000,100.498275
0.155000,100.575470
0.156000,101.097065
0.157000,100.334788
0.158000,101.697652
0.159000,100.712059
0.160000,100.042754
0.161000,99.631062
0.162000,100.759223
0.163000,100.565777
0.164000,100.565359
0.165000,101.461914
0.166000,102.042348
0.167000,101.624325
0.168000,101.458222
0.169000,101.212934
0.170000,102.008815
0.171000,102.079653
0.172000,102.097842
0.173000,102.271452
0.174000,101.690493
0.175000,101.164346
0.176000,101.534561
0.177000,101.335282
0.178000,101.839360
0.179000,102.507512
0.180000,101.894041
0.181000,101.202075
0.182000,101.380310
0.183000,100.554752
0.184000,101.119174
0.185000,101.381569
0.186000,101.746281
0.187000,102.393882
0.188000,103.813839
0.189000,103.238161
0.190000,103.083891
0.191000,103.757678
0.192000,103.506078
0.193000,104.887160
0.194000,104.738564
0.195000,105.183914
0.196000,105.920850
0.197000,106.802780
0.198000,107.979813
0.199000,106.620581
0.200000,106.499337
0.201000,107.029014
0.202000,105.907898
0.203000,105.993074
0.204000,107.002697
0.205000,108.145035
0.206000,108.067548
0.207000,107.485239
0.208000,108.951147
0.209000,107.324506
0.210000,109.441298
0.211000,109.590989
0.212000,109.720360
0.213000,109.770659
0.214000,110.196721
0.215000,110.029008
0.216000,109.983318
0.217000,110.270383
0.218000,110.771444
0.219000,110.815868
0.220000,112.379434
0.221000,111.210351
0.222000,111.912600
0.223000,113.654586
0.224000,114.935292
0.225000,115.828284
0.226000,116.443878
0.227000,116.445226
0.228000,115.600655
0.229000,114.640418
0.230000,114.308863
